word,sentiment,n,value
ugly,negative,7,-3
winner,positive,7,4
advantage,positive,6,2
bitch,negative,6,-5
blah,negative,6,-2
calm,positive,6,2
condemn,negative,6,-2
courage,positive,6,2
crap,negative,6,-3
cruel,negative,6,-3
damage,negative,6,-3
denying,negative,6,-2
dubious,negative,6,-2
endorsed,positive,6,2
ethical,positive,6,2
exuberant,positive,6,4
harsh,negative,6,-2
hero,positive,6,2
hilarious,positive,6,2
humor,positive,6,2
kill,negative,6,-3
killed,negative,6,-3
lied,negative,6,-2
lucky,positive,6,3
miracle,positive,6,4
myth,negative,6,-1
odd,negative,6,-2
oppressive,negative,6,-2
outrage,negative,6,-3
poised,positive,6,-2
praise,positive,6,3
remarkable,positive,6,2
selfish,negative,6,-3
supporter,positive,6,1
abused,negative,5,-3
admire,positive,5,3
anger,negative,5,-3
applaud,positive,5,2
benefits,positive,5,2
blockbuster,positive,5,3
crime,negative,5,-3
damned,negative,5,-4
danger,negative,5,-2
dislike,negative,5,-2
disparaging,negative,5,-2
disturbing,negative,5,-2
drunk,negative,5,-2
effectively,positive,5,2
endorses,positive,5,2
error,negative,5,-2
excellence,positive,5,3
exhausted,negative,5,-2
fallen,negative,5,-2
frustrating,negative,5,-2
gross,negative,5,-2
honoring,positive,5,2
impressive,positive,5,3
improvement,positive,5,2
improving,positive,5,2
inferior,negative,5,-2
inspirational,positive,5,2
joyous,positive,5,3
lags,negative,5,-2
loathing,negative,5,-3
madness,negative,5,-3
mistake,negative,5,-2
moron,negative,5,-3
passionate,positive,5,2
protest,negative,5,-2
rape,negative,5,-4
safely,positive,5,1
smile,positive,5,2
solid,positive,5,2
struggling,negative,5,-2
stunning,positive,5,4
supportive,positive,5,2
supports,positive,5,2
terror,negative,5,-3
tout,negative,5,-2
trauma,negative,5,-3
trust,positive,5,1
upsets,negative,5,-2
vibrant,positive,5,3
violent,negative,5,-3
wicked,negative,5,-2
woo,positive,5,3
worry,negative,5,-3
absentee,negative,4,-1
abuses,negative,4,-3
adorable,positive,4,3
annoyed,negative,4,-2
appalling,negative,4,-2
approval,positive,4,2
astounded,positive,4,3
astounding,positive,4,3
bomb,negative,4,-1
breakthrough,positive,4,3
burden,negative,4,-2
capable,positive,4,1
chaotic,negative,4,-2
cheer,positive,4,2
cheerful,positive,4,2
competitive,positive,4,2
conflicting,negative,4,-2
conflicts,negative,4,-2
contempt,negative,4,-2
criminal,negative,4,-3
criticized,negative,4,-2
critics,negative,4,-2
crush,negative,4,-1
crushed,negative,4,-2
decisive,positive,4,1
deny,negative,4,-2
desperate,negative,4,-3
dirty,negative,4,-2
disappointment,negative,4,-2
disgusted,negative,4,-3
dishonest,negative,4,-2
disorder,negative,4,-2
dispute,negative,4,-2
disrespect,negative,4,-2
distort,negative,4,-2
dreary,negative,4,-2
embarrassing,negative,4,-2
embarrassment,negative,4,-2
endorse,positive,4,2
endorsement,positive,4,2
enjoys,positive,4,2
entertaining,positive,4,2
euphoria,positive,4,3
exhilarating,positive,4,3
falling,negative,4,-1
festive,positive,4,2
fraud,negative,4,-4
grand,positive,4,3
harmful,negative,4,-2
heartfelt,positive,4,3
honored,positive,4,2
hurting,negative,4,-2
improves,positive,4,2
incompetent,negative,4,-2
injustice,negative,4,-2
innovation,positive,4,1
innovative,positive,4,2
insulting,negative,4,-2
intimidation,negative,4,-2
jeopardy,negative,4,-2
lively,positive,4,2
misunderstanding,negative,4,-2
mock,negative,4,-2
murderer,negative,4,-2
noble,positive,4,2
numb,negative,4,-1
pain,negative,4,-2
proactive,positive,4,2
promised,positive,4,1
rage,negative,4,-2
refused,negative,4,-2
resigned,negative,4,-1
rewarding,positive,4,2
serene,positive,4,2
silly,negative,4,-1
smiling,positive,4,2
strongest,positive,4,2
suspect,negative,4,-1
tense,negative,4,-2
tension,negative,4,-1
terrible,negative,4,-3
underestimate,negative,4,-1
warning,negative,4,-3
waste,negative,4,-1
weak,negative,4,-2
accomplished,positive,3,2
ambitious,positive,3,2
anxious,negative,3,-2
belittle,negative,3,-2
chaos,negative,3,-2
commitment,positive,3,2
complained,negative,3,-2
congratulation,positive,3,2
criticizing,negative,3,-2
debt,negative,3,-2
delay,negative,3,-1
delight,positive,3,3
depressed,negative,3,-2
devastated,negative,3,-2
disadvantage,negative,3,-2
disappoint,negative,3,-2
disappointed,negative,3,-2
disappointing,negative,3,-2
disregard,negative,3,-2
distraction,negative,3,-2
elated,positive,3,3
enemies,negative,3,-2
energetic,positive,3,2
failures,negative,3,-2
fond,positive,3,2
fortunate,positive,3,2
frustration,negative,3,-2
futile,negative,3,2
harm,negative,3,-2
horrendous,negative,3,-3
horrified,negative,3,-3
hostile,negative,3,-2
impressed,positive,3,3
insult,negative,3,-2
insults,negative,3,-2
intimidate,negative,3,-2
irrational,negative,3,-1
lazy,negative,3,-1
limits,negative,3,-1
loss,negative,3,-3
mercy,positive,3,2
optimism,positive,3,2
panic,negative,3,-3
pretend,negative,3,-1
prosperous,positive,3,3
punish,negative,3,-2
rant,negative,3,-3
refuse,negative,3,-2
regret,negative,3,-2
resentful,negative,3,-2
revives,positive,3,2
ruined,negative,3,-2
ruins,negative,3,-2
scandal,negative,3,-3
scandals,negative,3,-3
scared,negative,3,-2
shock,negative,3,-2
shocked,negative,3,-2
subversive,negative,3,-2
suck,negative,3,-3
suspicious,negative,3,-2
tragic,negative,3,-2
undermining,negative,3,-2
weary,negative,3,-2
worrying,negative,3,-3
worthy,positive,3,2
accomplish,positive,2,2
admonish,negative,2,-2
ambivalent,negative,2,-1
awarded,positive,2,3
awful,negative,2,-3
awkward,negative,2,-2
betrayal,negative,2,-3
bless,positive,2,2
bother,negative,2,-2
brave,positive,2,2
charm,positive,2,3
choke,negative,2,-2
clean,positive,2,2
condemned,negative,2,-2
confidence,positive,2,2
critic,negative,2,-2
criticism,negative,2,-2
curse,negative,2,-1
cynical,negative,2,-2
deception,negative,2,-3
depressing,negative,2,-2
desperately,negative,2,-3
disgrace,negative,2,-2
distract,negative,2,-2
disturbed,negative,2,-2
drag,negative,2,-1
enemy,negative,2,-2
enslave,negative,2,-2
envy,positive,2,-1
fails,negative,2,-2
fool,negative,2,-2
frustrated,negative,2,-2
frustrates,negative,2,-2
gained,positive,2,2
gracious,positive,2,3
guilty,negative,2,-3
hating,negative,2,-3
hysterical,negative,2,-3
insensitive,negative,2,-2
irresponsible,negative,2,2
naive,negative,2,-2
offending,negative,2,-2
outstanding,positive,2,5
pardon,positive,2,2
pleasure,positive,2,3
recession,negative,2,-2
restricted,negative,2,-2
scare,negative,2,-2
sincerely,positive,2,2
sorrow,negative,2,-2
suffer,negative,2,-2
superior,positive,2,2
tragedy,negative,2,-2
unclear,negative,2,-1
useless,negative,2,-2
badly,negative,1,-3
beautifully,positive,1,3
blind,negative,1,-1
blurry,negative,1,-2
bothers,negative,1,-2
careless,negative,1,-2
catastrophe,negative,1,-3
classy,positive,1,3
collapse,negative,1,-2
confuse,negative,1,-2
controversial,negative,1,-2
disaster,negative,1,-2
drained,negative,1,-2
dump,negative,1,-1
eager,positive,1,2
ecstatic,positive,1,4
emergency,negative,1,-2
failing,negative,1,-2
favor,positive,1,2
fraudulent,negative,1,-4
goodness,positive,1,3
haters,negative,1,-3
haunt,negative,1,-1
hesitant,negative,1,-2
hopeless,negative,1,-2
humorous,positive,1,2
improved,positive,1,2
insanity,negative,1,-2
lame,negative,1,-2
loyal,positive,1,3
meaningless,negative,1,-2
messed,negative,1,-2
optimistic,positive,1,2
pleasant,positive,1,3
poorer,negative,1,-2
refusing,negative,1,-2
restored,positive,1,1
scream,negative,1,-2
shocking,negative,1,-2
smartest,positive,1,2
sobering,negative,1,1
spirited,positive,1,2
stubborn,negative,1,-2
superb,positive,1,5
terrific,positive,1,4
undermine,negative,1,-2
undesirable,negative,1,-2
virulent,negative,1,-2
wealthy,positive,1,2
worn,negative,1,-1
